time,rabbit
0.0,10.0
1.0,10.005159129049066
2.0,10.010318258098133
3.0,10.015477387147198
4.0,10.020636516196264
5.0,10.025795645245331
6.0,10.030954774294397
7.0,10.036113903343464
8.0,10.04127303239253
9.0,10.046432161441595
10.0,10.051591290490663
11.0,10.056750419539728
12.0,10.061909548588794
13.0,10.067068677637861
14.0,10.072227806686927
15.0,10.077386935735994
16.0,10.08254606478506
17.0,10.087705193834125
18.0,10.092864322883193
19.0,10.098023451932258
20.0,10.103182580981324
21.0,10.108341710030391
22.0,10.113500839079457
23.0,10.118659968128524
24.0,10.12381909717759
25.0,10.128978226226655
26.0,10.134137355275723
27.0,10.139296484324788
28.0,10.144455613373854
29.0,10.149614742422921
30.0,10.154773871471987
31.0,10.159933000521054
32.0,10.16509212957012
33.0,10.170251258619185
34.0,10.175410387668252
35.0,10.180569516717318
36.0,10.185728645766384
37.0,10.190887774815451
38.0,10.196046903864517
39.0,10.201206032913584
40.0,10.20636516196265
41.0,10.211524291011715
42.0,10.216683420060782
43.0,10.221842549109848
44.0,10.227001678158913
45.0,10.23216080720798
46.0,10.237319936257046
47.0,10.242479065306114
48.0,10.24763819435518
49.0,10.252797323404245
50.0,10.257956452453312
51.0,10.263115581502378
52.0,10.268274710551443
53.0,10.27343383960051
54.0,10.278592968649576
55.0,10.283752097698644
56.0,10.28891122674771
57.0,10.294070355796775
58.0,10.299229484845842
59.0,10.304388613894908
60.0,10.309547742943973
61.0,10.31470687199304
62.0,10.324939863068538
63.0,10.330101000674624
64.0,10.33526479993969
65.0,10.340431260863744
66.0,10.345600383446778
67.0,10.350772167688795
68.0,10.355946613589797
69.0,10.361123721149784
70.0,10.366303490368752
71.0,10.371485921246704
72.0,10.376671013783639
73.0,10.381858767979558
74.0,10.38704918383446
75.0,10.392242261348345
76.0,10.397438000521214
77.0,10.402636401353066
78.0,10.4078374638439
79.0,10.413041187993722
80.0,10.418247573802523
81.0,10.42345662127031
82.0,10.428668330397077
83.0,10.433882701182831
84.0,10.439099733627566
85.0,10.444319427731285
86.0,10.449541783493988
87.0,10.454766800915674
88.0,10.459994479996345
89.0,10.465224820735996
90.0,10.470457823134634
91.0,10.475693487192252
92.0,10.480931812908855
93.0,10.486172800284441
94.0,10.491416449319013
95.0,10.496662760012565
96.0,10.501911732365102
97.0,10.507163366376622
98.0,10.512417662047126
99.0,10.517674619376612
100.0,10.522934238365082
101.0,10.528196519012536
102.0,10.533461461318971
103.0,10.538729065284391
104.0,10.543999330908795
105.0,10.549272258192183
106.0,10.554547847134552
107.0,10.559826097735906
108.0,10.565107009996245
109.0,10.570390583915565
110.0,10.575676819493868
111.0,10.580965716731155
112.0,10.586257275627426
113.0,10.59155149618268
114.0,10.596848378396917
115.0,10.60214792227014
116.0,10.607450127802343
117.0,10.61275499499353
118.0,10.618062523843701
119.0,10.623372714352856
120.0,10.628685566520993
121.0,10.634001080348114
122.0,10.639319255834218
123.0,10.644640092979307
124.0,10.649963621750738
125.0,10.655290015458958
126.0,10.660619301933139
127.0,10.665951481173273
128.0,10.671286553179367
129.0,10.676624517951417
130.0,10.681965375489428
131.0,10.687309125793393
132.0,10.692655768863316
133.0,10.6980053046992
134.0,10.703357733301036
135.0,10.708713054668832
136.0,10.714071268802586
137.0,10.719432375702297
138.0,10.724796375367966
139.0,10.730163267799592
140.0,10.735533052997177
141.0,10.740905730960717
142.0,10.746281301690216
143.0,10.751659765185673
144.0,10.757041121447086
145.0,10.762425370474457
146.0,10.767812512267787
147.0,10.773202546827072
148.0,10.778595474152315
149.0,10.783991294243515
150.0,10.789390007100675
151.0,10.794791612723792
152.0,10.800196111112864
153.0,10.805603502267896
154.0,10.811013786188886
155.0,10.81642696287583
156.0,10.821843032328733
157.0,10.827261994547596
158.0,10.832683849532414
159.0,10.838108597283192
160.0,10.843536237799924
161.0,10.848966771082615
162.0,10.854400197131262
163.0,10.85983651594587
164.0,10.865275727526432
165.0,10.870717831872954
166.0,10.876162828985434
167.0,10.881610718863868
168.0,10.887061501508262
169.0,10.892515176918613
170.0,10.897971745094923
171.0,10.903431206037189
172.0,10.90889355974541
173.0,10.914358806219592
174.0,10.91982694545973
175.0,10.925297977465826
176.0,10.930771902237879
177.0,10.936248719775891
178.0,10.94172843007986
179.0,10.947211033149786
180.0,10.95269652898567
181.0,10.958184917587511
182.0,10.963676198955309
183.0,10.969170373089066
184.0,10.974667439988778
185.0,10.98016739965445
186.0,10.985670252086079
187.0,10.991175997283664
188.0,10.996684635247208
189.0,11.002196165976708
190.0,11.007710589472168
191.0,11.013227905733583
192.0,11.018748114760955
193.0,11.024271216554288
194.0,11.029797211113577
195.0,11.035326098438821
196.0,11.040857878530025
197.0,11.046392551387186
198.0,11.051930117010304
199.0,11.057470575399382
200.0,11.063013926554415
201.0,11.068560170475404
202.0,11.074109307162352
203.0,11.07966133661526
204.0,11.085216258834123
205.0,11.090774073818944
206.0,11.096334781569723
207.0,11.101898382086459
208.0,11.107464875369152
209.0,11.113034261417802
210.0,11.118606540232411
211.0,11.124181711812977
212.0,11.1297597761595
213.0,11.135340733271981
214.0,11.140924583150419
215.0,11.146511325794814
216.0,11.15210096120517
217.0,11.15769348938148
218.0,11.163288910323747
219.0,11.168887224031975
220.0,11.174488430506157
221.0,11.180092529746297
222.0,11.185699521752396
223.0,11.191309406524452
224.0,11.196922184062466
225.0,11.202537854366435
226.0,11.208156417436365
227.0,11.21377787327225
228.0,11.219402221874093
229.0,11.225029463241894
230.0,11.230659597375652
231.0,11.236292624275368
232.0,11.241928543941041
