time,ACA,ADP,AMP,ATP,DPG,EtOH,F6P,FBP,GAP,GLC,NAD,NADH,P,PEP,PYR
0.0,0.07383339999999998,0.10836699999999999,0.00261149,4.49064,0.299109,0.33980999999999995,0.6593900000000001,0.007701349999999999,0.00190919,0.011281700000000002,3.62057,0.616118,0.0,0.0021125,0.00422702
0.05,0.07293394376157379,0.11094528286223411,0.0026785235268934997,4.487993793686242,0.2982954979027642,0.3418711307199776,0.661517922384182,0.007731247281624083,0.0019138343383829992,0.03421686926859148,3.6222793217025147,0.6144104993963978,0.001649955651908803,0.002112268493846756,0.00423096956089628
0.1,0.07207481402872017,0.11617492923178752,0.002887954855728602,4.482553826552425,0.29742972003437734,0.3438979133968896,0.6665675308797876,0.007809687156901286,0.0019211740589236271,0.05415618453224076,3.623952170180473,0.6127394710162735,0.0033083274302348666,0.0021254567636069216,0.00426992179125697
0.15000000000000002,0.07126792832610529,0.12311286802055411,0.003216055849260519,4.475286897823756,0.29648501098976693,0.3458920004833749,0.6734913544009652,0.007986952167650996,0.0019363451312935502,0.07208759596733126,3.6255882783141082,0.6111051819796844,0.004980830283374849,0.0021528227761238427,0.004358123724421543
0.2,0.07052821650933867,0.13126407706604257,0.003643945363513081,4.46670691080643,0.29544682004202744,0.34785552631438343,0.6816683730458237,0.008319418619687179,0.0019672904564957223,0.08856558186884551,3.627185208993454,0.6095100693971581,0.006671380585021962,0.0021916627351912794,0.004500337137886504
0.25,0.06987059874895936,0.14035330830867895,0.004164076399066191,4.45709666055917,0.2943100890252016,0.3497910801005482,0.6906825663654487,0.00887418076302658,0.0020243788926187505,0.10392719834837663,3.628737343809668,0.6079597516780907,0.008382568387922526,0.002238831313073798,0.004695463763671621
0.30000000000000004,0.06930835260071401,0.15023262037014612,0.004776977725114706,4.446603559690832,0.2930773062180888,0.3517016297854804,0.7002164951811958,0.009734319562944465,0.0021204161151650957,0.1183924902878815,3.6302351130443458,0.6064637985414313,0.010116043398847172,0.002291827386375146,0.004939808609056402
0.35000000000000003,0.06885310491190667,0.1608412099494656,0.005487479673858336,4.4352835811699265,0.2917581637138834,0.35359057663959187,0.7099853268004616,0.011008343296120039,0.002271852870357805,0.13211944447595111,3.63166353379041,0.6050371928948076,0.011872733935764775,0.002348945127544097,0.0052287414681944765
0.4,0.06851454449741827,0.17219290871366966,0.006303540642021529,4.4231149349324275,0.2903700000942822,0.3554616701206952,0.7197093939433453,0.012836285728252034,0.0024996106597060083,0.14522422223385242,3.6330007599288354,0.6037017808577954,0.013652861777534778,0.0024093076223807982,0.005557957977758975
0.45,0.06830066860685496,0.18434998027526933,0.00724471904838367,4.4100157989467785,0.2889383332020765,0.35731893185177727,0.7290948732675098,0.01539461408718176,0.002829855282423834,0.15779443627032916,3.6342165131648536,0.6024878407257054,0.015455945495492696,0.002472763816158349,0.005924372394871353
0.5,0.0682184009159388,0.1974475436808859,0.008334000741633004,4.395828068317404,0.28749875121942975,0.35916672928162235,0.7378032142898124,0.018914157255711352,0.0032960118085924575,0.16989943754662068,3.63526930798827,0.6014368580092804,0.01728072480163924,0.002539808727910474,0.006326463352832194
0.55,0.06827415777159894,0.2116992303512382,0.009601840265050648,4.380307657080034,0.28609974322434867,0.36100983906597595,0.7454248436277447,0.023698225560274944,0.003941139132933818,0.18159547192853454,3.6361024831544873,0.6006054939536706,0.019124976691003482,0.0026115591904401552,0.006764869838523402
0.6000000000000001,0.06847442026349447,0.22738242893986949,0.011096459806878489,4.363128954392612,0.2848043783391743,0.3628533945505833,0.7514670605009285,0.030130775960807973,0.004819018485653618,0.1929278736522547,3.6366414280723323,0.6000683591506001,0.02098535628762709,0.0026898041760664857,0.007242863258824668
0.65,0.06882646438921707,0.24483486832002752,0.012888799666020655,4.343883291082721,0.2836921394225891,0.36470293042994767,0.755340438818749,0.03868583277304154,0.005994713810054365,0.20393369800971423,3.636790781193438,0.5999208151489764,0.022857237981560103,0.002777022554828842,0.007766567435813104
0.7000000000000001,0.06933931176069114,0.2644898315455042,0.015067059036136754,4.322049184902647,0.28286379931269384,0.3665646572606131,0.7563257859028722,0.04995360346462377,0.007546906202353279,0.21464453439092449,3.636428054430095,0.600285350037057,0.024734335812068776,0.002876431088328788,0.008345459245596399
0.75,0.07002472703708532,0.2868364904057801,0.017749434726622274,4.297019267253239,0.28244525936256204,0.3684456870760714,0.7535830172341899,0.0646287103019201,0.00956675295859498,0.22508746984417144,3.635398079218594,0.601317132379103,0.026608314205603934,0.002992091082139905,0.008992979934092593
0.8,0.0708976853954689,0.3123071504451496,0.021093320871221826,4.268203838456197,0.28258430451134564,0.3703540449102228,0.7462447672482454,0.0834226957641882,0.012148202215228785,0.23528535375754525,3.633516265290434,0.6032007524441573,0.02846887314148534,0.00312877400994891,0.009726188179919075
0.8500000000000001,0.071977418595777,0.34120351827168965,0.025279380506227456,4.235120528866883,0.2834518076211843,0.372299156040202,0.7335169055733255,0.10696769153398661,0.015374966920091026,0.24525820101509,3.6305668481607256,0.6061519747176527,0.030303553129650856,0.003291569884782059,0.010565653832886896
0.9,0.07328801022889501,0.37355787450048406,0.030485435038185026,4.197559236463399,0.2852341461466315,0.3742922385079733,0.7148693554310982,0.1356408133577418,0.01929689819894653,0.2550236941872049,3.6263117625110173,0.6104088645185928,0.032098073519072345,0.003485205140435246,0.01153425473223989
