time,R,W
0.0,0.0095,0.007999999999999998
1.0,0.009499695615665039,0.00800197725296358
2.0,0.00949939123133008,0.008003954505927158
3.0,0.009499086846995118,0.008005931758890738
4.0,0.00949878246266016,0.008007909011854318
5.0,0.009498478078325198,0.008009886264817898
6.0,0.009498173693990237,0.008011863517781477
7.0,0.009497869309655278,0.008013840770745058
8.0,0.009497564925320317,0.008015818023708637
9.0,0.009497260540985356,0.008017795276672218
10.0,0.009496956156650397,0.008019772529635797
11.0,0.009496651772315436,0.008021749782599376
12.0,0.009496347387980476,0.008023727035562957
13.0,0.009496043003645515,0.008025704288526536
14.0,0.009495738619310554,0.008027681541490115
15.0,0.009495434234975595,0.008029658794453696
16.0,0.009495129850640634,0.008031636047417275
17.0,0.009494825466305675,0.008033613300380856
18.0,0.009494521081970714,0.008035590553344435
19.0,0.009494216697635753,0.008037567806308014
20.0,0.009493912313300793,0.008039545059271595
21.0,0.009493607928965832,0.008041522312235174
22.0,0.009493303544630871,0.008043499565198753
23.0,0.009492999160295912,0.008045476818162334
24.0,0.009492694775960951,0.008047454071125913
25.0,0.009492390391625992,0.008049431324089494
26.0,0.009492086007291031,0.008051408577053073
27.0,0.00949178162295607,0.008053385830016652
28.0,0.00949147723862111,0.008055363082980233
29.0,0.00949117285428615,0.008057340335943812
30.0,0.00949086846995119,0.008059317588907393
31.0,0.00949056408561623,0.008061294841870972
32.0,0.009485680352999078,0.008062278588856922
33.0,0.009485369816073078,0.008064254506993884
34.0,0.009485050233810917,0.008066228462712835
35.0,0.009484721606212597,0.008068200456013778
36.0,0.00948438393327812,0.00807017048689671
37.0,0.009484037215007485,0.008072138555361633
38.0,0.00948368145140069,0.008074104661408545
39.0,0.009483316642457737,0.008076068805037447
40.0,0.009482942788178624,0.00807803098624834
41.0,0.009482559888563353,0.008079991205041222
42.0,0.009482167943611924,0.008081949461416094
43.0,0.009481766953324337,0.008083905755372954
44.0,0.009481356917700589,0.008085860086911806
45.0,0.009480937836740684,0.008087812456032647
46.0,0.00948050971044462,0.008089762862735479
47.0,0.009480072538812398,0.008091711307020301
48.0,0.009479626321844016,0.008093657788887113
49.0,0.009479171059539476,0.008095602308335914
50.0,0.009478706751898776,0.008097544865366705
51.0,0.009478233398921919,0.008099485459979487
52.0,0.009477751000608903,0.008101424092174257
53.0,0.009477259556959728,0.008103360761951018
54.0,0.009476759067974395,0.00810529546930977
55.0,0.009476249533652902,0.00810722821425051
56.0,0.00947573095399525,0.008109158996773242
57.0,0.009475203329001442,0.008111087816877964
58.0,0.009474666658671475,0.008113014674564675
59.0,0.009474120943005346,0.008114939569833375
60.0,0.009473566182003061,0.008116862502684067
61.0,0.009473002375664615,0.008118783473116745
62.0,0.009472429523990014,0.008120702481131416
63.0,0.009471847626979252,0.008122619526728077
64.0,0.009471256726879256,0.008124534533942067
65.0,0.009470657298922254,0.008126446648253
66.0,0.009470049476178589,0.008128355630385624
67.0,0.009469433258648257,0.008130261480339938
68.0,0.00946880864633126,0.00813216419811594
69.0,0.009468175639227595,0.00813406378371363
70.0,0.009467534237337266,0.008135960237133012
71.0,0.00946688444066027,0.008137853558374084
72.0,0.00946622624919661,0.008139743747436845
73.0,0.009465559662946283,0.008141630804321292
74.0,0.009464884681909291,0.008143514729027431
75.0,0.009464201306085633,0.00814539552155526
76.0,0.00946350953547531,0.008147273181904778
77.0,0.00946280937007832,0.008149147710075985
78.0,0.009462100809894665,0.008151019106068882
79.0,0.009461383854924343,0.008152887369883467
80.0,0.009460658505167356,0.008154752501519742
81.0,0.009459924760623703,0.008156614500977707
82.0,0.009459182621293385,0.008158473368257362
83.0,0.0094584320871764,0.008160329103358704
84.0,0.00945767315827275,0.008162181706281737
85.0,0.009456905834582434,0.008164031177026462
86.0,0.009456130116105453,0.008165877515592872
87.0,0.009455346002841805,0.008167720721980973
88.0,0.009454553494791493,0.008169560796190764
89.0,0.009453752591954514,0.008171397738222242
90.0,0.00945294329433087,0.008173231548075413
91.0,0.009452125601920559,0.008175062225750271
92.0,0.009451299514723583,0.008176889771246818
93.0,0.009450465032739941,0.008178714184565058
94.0,0.009449622155969634,0.008180535465704984
95.0,0.00944877088441266,0.0081823536146666
96.0,0.009447911218069021,0.008184168631449905
97.0,0.009447043156938714,0.008185980516054901
98.0,0.009446166701021745,0.008187789268481585
99.0,0.009445281850318107,0.008189594888729959
100.0,0.009444388604827806,0.008191397376800023
101.0,0.009443486964550838,0.008193196732691775
102.0,0.009442576929487204,0.008194992956405217
103.0,0.009441658499636903,0.008196786047940349
104.0,0.009440731674999939,0.008198576007297169
105.0,0.009439796455576308,0.008200362834475679
106.0,0.009438852841366011,0.008202146529475879
107.0,0.009437900832369048,0.00820392709229777
108.0,0.00943694042858542,0.008205704522941348
109.0,0.009435971630015125,0.008207478821406615
110.0,0.009434994436658165,0.008209249987693573
111.0,0.009434008848514539,0.008211018021802219
112.0,0.009433014865584248,0.008212782923732556
113.0,0.00943201248786729,0.008214544693484581
114.0,0.009431001715363667,0.008216303331058295
115.0,0.009429982548073378,0.008218058836453702
116.0,0.009428954985996425,0.008219811209670795
117.0,0.009427919029132804,0.008221560450709577
118.0,0.009426874677482518,0.00822330655957005
119.0,0.009425821931045564,0.008225049536252211
120.0,0.009424760789821948,0.008226789380756062
121.0,0.009423691253811664,0.008228526093081603
122.0,0.009422613323014715,0.008230259673228834
123.0,0.009421526997431099,0.008231990121197753
124.0,0.00942043227706082,0.008233717436988362
125.0,0.009419329161903873,0.00823544162060066
126.0,0.009418217651960261,0.008237162672034648
127.0,0.009417097747229982,0.008238880591290325
128.0,0.009415969799805154,0.008240594807694878
129.0,0.009414834760199647,0.008242303780650266
130.0,0.009413692681251475,0.00824400742451634
131.0,0.009412543562960646,0.008245705739293098
132.0,0.009411387405327154,0.008247398724980539
133.0,0.009410224208351001,0.008249086381578667
134.0,0.009409053972032188,0.00825076870908748
135.0,0.009407876696370715,0.008252445707506977
136.0,0.00940669238136658,0.00825411737683716
137.0,0.009405501027019784,0.008255783717078026
138.0,0.009404302633330329,0.008257444728229578
139.0,0.009403097200298211,0.008259100410291816
140.0,0.009401884727923433,0.008260750763264739
141.0,0.009400665216205995,0.008262395787148345
142.0,0.009399438665145896,0.008264035481942636
143.0,0.009398205074743135,0.008265669847647613
144.0,0.009396964444997713,0.008267298884263276
145.0,0.009395716775909632,0.008268922591789624
146.0,0.00939446206747889,0.008270540970226656
147.0,0.009393200319705485,0.008272154019574372
148.0,0.00939193153258942,0.008273761739832772
149.0,0.009390655706130695,0.008275364131001859
150.0,0.009389372840329308,0.008276961193081632
151.0,0.009388082935185262,0.008278552926072089
